"","GAZP","MGNT","MTSS","NLMK","SBER","ret_GAZP","ret_MGNT","ret_MTSS","ret_NLMK","ret_SBER"
"2019-11-05",263,3346.5,289.75,129.02,238.53,-0.0029992998812558,0.0220552746595502,0.0119782701157911,0.0225750298685909,0.00896980304955797
"2019-11-06",266.98,3350,291.8,131.2,239.02,0.0150197170498219,0.00104532227841503,0.00705015386882479,0.0167554454058925,0.00205214185723346
"2019-11-07",270.74,3360,299.6,133.22,242.5,0.0139852015300539,0.00298062813813793,0.0263796155543785,0.0152790204750453,0.0144544799388031
"2019-11-08",266,3303,300.3,131.04,240.17,-0.0176626419759414,-0.0171098275664594,0.0023337233462204,-0.0164992768802739,-0.009654704451866
"2019-11-11",260.4,3305,297.8,128.94,241.5,-0.0212773984472854,0.000605326894996594,-0.00835985473937573,-0.0161554402222857,0.00552246716695581
"2019-11-12",257.25,3320.5,299.5,129.3,239.87,-0.0121705356202551,0.00467890069498189,0.00569229730559506,0.00278810589533762,-0.00677236317168894
"2019-11-13",251.8,3333,298.6,129.2,237.21,-0.021413253103912,0.0037574253269721,-0.00300953245041402,-0.00077369442931019,-0.0111512851699933
"2019-11-14",248.34,3317,297.3,125.94,237.5,-0.0138363466215505,-0.0048120393606883,-0.00436315510103746,-0.0255559882879046,0.00122179872375039
"2019-11-15",248.01,3305.5,300.2,126.64,240,-0.00132970705600233,-0.00347301217341922,0.00970718919530889,0.00554281251215993,0.0104712998672953
"2019-11-18",246.15,3294.5,297.45,126.72,237.45,-0.00752796172848402,-0.00333333641975742,-0.00920277556544669,0.000631512493359132,-0.0106818483468603
"2019-11-19",248.01,3334,305.5,128.58,239.25,0.00752796172848402,0.0119183729568633,0.0267036349777356,0.014571350647425,0.00755195533793263
"2019-11-20",248,3314,306.1,128.26,237.78,-4.03217677114043e-05,-0.00601686532423074,0.00196206733971671,-0.0024918249928243,-0.00616315390266475
"2019-11-21",254.35,3270,306,126.48,237.15,0.0252825251037914,-0.0133659340952086,-0.000326743998986245,-0.0139752608194996,-0.00265302410680768
"2019-11-22",251.99,3261,305.15,127.82,238.13,-0.00932186708440597,-0.00275608810198058,-0.00278164296187722,0.0105388313209192,0.00412389071226027
"2019-11-25",255.2,3240,308.5,130.9,237.98,0.0126581472862668,-0.00646056700294295,0.0109183843549392,0.0238106486937184,-0.000630106508843653
