Date,Close
2023-10-25,595.2
2023-10-26,590.2
2023-10-27,578.0
2023-10-30,589.8
2023-10-31,577.8
2023-11-01,586.0
2023-11-02,587.4
2023-11-03,615.6
2023-11-06,632.4
2023-11-07,630.0
2023-11-08,617.6
2023-11-09,604.4
2023-11-10,593.0
2023-11-13,608.0
2023-11-14,598.2
2023-11-15,607.0
2023-11-16,604.0
2023-11-17,614.8
2023-11-20,628.8
2023-11-21,636.4
2023-11-22,639.2
2023-11-23,627.8
2023-11-24,626.2
2023-11-27,613.6
2023-11-28,631.0
2023-11-29,625.8
2023-11-30,613.4
2023-12-01,602.4
2023-12-04,595.4
2023-12-05,601.4
2023-12-06,582.4
2023-12-07,580.0
2023-12-08,573.6
2023-12-11,539.8
2023-12-12,534.4
2023-12-13,554.8
2023-12-14,545.0
2023-12-15,566.8
2023-12-18,583.0
2023-12-19,578.0
2023-12-20,576.2
2023-12-21,563.6
2023-12-22,565.4
2023-12-25,563.0
2023-12-26,553.2
2023-12-27,553.4
2023-12-28,564.0
2023-12-29,556.4
2024-01-03,568.8
2024-01-04,584.0
2024-01-05,579.4
2024-01-08,590.6
2024-01-09,626.8
2024-01-10,622.4
2024-01-11,627.0
2024-01-12,640.0
2024-01-15,642.8
2024-01-16,635.0
2024-01-17,637.4
2024-01-18,628.4
2024-01-19,635.4
2024-01-22,662.4
2024-01-23,655.8
2024-01-24,654.0
2024-01-25,667.2
2024-01-26,675.8
2024-01-29,677.2
2024-01-30,676.8
2024-01-31,695.4
2024-02-01,685.8
2024-02-02,677.2
2024-02-05,673.8
2024-02-06,681.0
2024-02-07,666.8
2024-02-08,661.2
2024-02-09,658.8
2024-02-12,671.8
2024-02-13,690.2
2024-02-14,682.0
2024-02-15,674.2
2024-02-16,660.0
2024-02-19,660.4
2024-02-20,644.6
2024-02-21,639.0
2024-02-22,640.4
2024-02-26,659.4
2024-02-27,649.0
2024-02-28,641.4
2024-02-29,652.6
2024-03-01,657.4
2024-03-04,660.0
2024-03-05,658.4
2024-03-06,652.8
2024-03-07,655.0
2024-03-11,654.4
2024-03-12,647.8
2024-03-13,643.0
2024-03-14,633.4
2024-03-15,629.8
2024-03-18,644.0
2024-03-19,632.2
2024-03-20,627.4
2024-03-21,630.6
2024-03-22,605.0
2024-03-25,607.6
2024-03-26,618.0
2024-03-27,614.4
2024-03-28,608.6
2024-03-29,609.8
2024-04-01,618.0
2024-04-02,614.8
2024-04-03,635.2
2024-04-04,619.4
2024-04-05,608.6
2024-04-08,607.6
2024-04-09,604.2
2024-04-10,604.6
2024-04-11,599.2
2024-04-12,608.0
2024-04-15,609.0
2024-04-16,608.4
2024-04-17,606.0
2024-04-18,603.0
2024-04-19,601.0
2024-04-22,607.8
2024-04-23,599.8
2024-04-24,594.8
2024-04-25,602.4
2024-04-26,595.2
2024-04-27,587.2
2024-04-29,584.8
2024-04-30,577.8
2024-05-02,578.0
2024-05-03,585.8
2024-05-06,571.6
2024-05-07,578.2
2024-05-08,576.8
2024-05-10,574.8
2024-05-13,577.6
2024-05-14,603.6
2024-05-15,616.4
2024-05-16,613.0
2024-05-17,634.0
2024-05-20,625.0
2024-05-21,611.4
2024-05-22,603.4
2024-05-23,613.6
2024-05-24,581.2
2024-05-27,563.8
2024-05-28,570.0
2024-05-29,572.0
2024-05-30,559.2
2024-05-31,555.4
2024-06-03,562.6
2024-06-04,562.4
2024-06-05,556.8
2024-06-06,556.8
2024-06-07,563.2
2024-06-10,559.8
2024-06-11,554.0
2024-06-13,549.4
2024-06-14,554.8
2024-06-17,546.0
2024-06-18,528.4
2024-06-19,502.0
2024-06-20,522.8
2024-06-21,510.8
2024-06-24,500.6
2024-06-25,512.8
2024-06-26,517.2
2024-06-27,510.8
2024-06-28,502.6
2024-07-01,512.8
2024-07-02,523.4
2024-07-03,508.6
2024-07-04,498.2
2024-07-05,488.6
2024-07-08,481.4
2024-07-09,457.2
2024-07-10,433.0
2024-07-11,457.8
2024-07-12,454.4
2024-07-15,442.4
2024-07-16,452.0
2024-07-17,442.0
2024-07-18,454.6
2024-07-19,463.0
2024-07-22,465.2
2024-07-23,467.4
2024-07-24,467.0
2024-07-25,472.4
2024-07-26,460.8
2024-07-29,446.0
2024-07-30,456.8
2024-07-31,457.8
2024-08-01,449.4
2024-08-02,448.4
2024-08-05,438.2
2024-08-06,455.8
2024-08-07,452.8
2024-08-08,438.0
2024-08-09,435.4
2024-08-12,427.4
2024-08-13,424.2
2024-08-14,415.0
2024-08-15,409.8
2024-08-16,405.0
2024-08-19,402.8
2024-08-20,395.4
2024-08-21,381.2
2024-08-22,366.0
2024-08-23,374.4
2024-08-26,378.6
2024-08-27,363.4
2024-08-28,358.0
2024-08-29,361.4
2024-08-30,346.4
2024-09-02,323.8
2024-09-03,328.0
2024-09-04,348.0
2024-09-05,338.8
2024-09-06,349.0
2024-09-09,369.4
2024-09-10,359.0
2024-09-11,339.0
2024-09-12,340.6
2024-09-13,351.8
2024-09-16,356.0
2024-09-17,357.6
2024-09-18,357.4
2024-09-19,357.8
2024-09-20,369.6
2024-09-23,374.4
2024-09-24,379.0
2024-09-25,368.8
2024-09-26,363.0
2024-09-27,361.6
2024-09-30,349.8
2024-10-01,350.8
2024-10-02,339.0
2024-10-03,340.0
2024-10-04,336.6
2024-10-07,336.4
2024-10-08,335.2
2024-10-09,339.6
2024-10-10,339.4
2024-10-11,339.4
2024-10-14,345.8
2024-10-15,354.2
2024-10-16,349.2
2024-10-17,340.0
2024-10-18,343.4
2024-10-21,342.2
2024-10-22,337.6
2024-10-23,328.2
2024-10-24,329.8
2024-10-25,307.6
2024-10-28,302.0
2024-10-29,307.0
2024-10-30,296.6
2024-10-31,288.0
2024-11-01,292.0
2024-11-02,288.8
2024-11-05,293.4
2024-11-06,295.2
2024-11-07,304.8
2024-11-08,320.6
2024-11-11,322.8
2024-11-12,312.4
2024-11-13,312.2
2024-11-14,310.2
2024-11-15,316.4
2024-11-18,305.6
2024-11-19,296.8
2024-11-20,284.8
2024-11-21,280.4
2024-11-22,272.0
2024-11-25,263.0
2024-11-26,243.6
2024-11-27,261.6
2024-11-28,269.0
2024-11-29,275.2
2024-12-02,277.0
2024-12-03,258.2
2024-12-04,248.2
2024-12-05,261.8
2024-12-06,259.8
2024-12-09,265.8
2024-12-10,251.6
2024-12-11,256.2
2024-12-12,248.2
2024-12-13,250.4
2024-12-16,239.8
2024-12-17,237.8
2024-12-18,247.6
2024-12-19,248.4
2024-12-20,292.8
2024-12-23,290.2
2024-12-24,284.2
2024-12-25,297.2
2024-12-26,288.0
2024-12-27,293.2
2024-12-28,295.2
2024-12-30,312.4
2025-01-03,303.4
2025-01-06,300.2
2025-01-08,312.6
2025-01-09,298.6
2025-01-10,310.4
2025-01-13,305.0
2025-01-14,309.6
2025-01-15,338.6
2025-01-16,337.6
2025-01-17,350.8
2025-01-20,342.6
2025-01-21,338.2
2025-01-22,346.6
2025-01-23,353.4
2025-01-24,350.2
2025-01-27,339.6
2025-01-28,342.0
2025-01-29,339.0
2025-01-30,341.0
2025-01-31,335.0
2025-02-03,322.4
2025-02-04,307.7
2025-02-05,316.0
2025-02-06,312.0
2025-02-07,303.0
2025-02-10,307.7
2025-02-11,317.4
2025-02-12,329.0
2025-02-13,325.8
2025-02-14,319.0
2025-02-17,334.2
2025-02-18,322.4
2025-02-19,327.4
2025-02-20,330.0
2025-02-21,329.6
2025-02-24,340.2
2025-02-25,353.1
2025-02-26,334.9
2025-02-27,330.8
2025-02-28,333.6
2025-03-03,321.2
2025-03-04,336.8
2025-03-05,333.4
2025-03-06,332.1
2025-03-07,330.3
2025-03-10,326.9
2025-03-11,327.0
2025-03-12,321.8
2025-03-13,322.6
2025-03-14,327.9
2025-03-17,334.0
2025-03-18,326.8
2025-03-19,328.1
2025-03-20,301.5
2025-03-21,294.4
2025-03-24,284.5
2025-03-25,291.8
2025-03-26,286.1
2025-03-27,282.0
2025-03-28,280.4
2025-03-31,282.0
2025-04-01,274.5
2025-04-02,281.7
2025-04-03,279.1
2025-04-04,263.4
2025-04-07,257.1
2025-04-08,241.0
2025-04-09,251.7
2025-04-10,247.9
2025-04-11,252.1
